WVclass,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Medium,26.566064401021613,82153.58174626049,Inf,-196134.65362971456,196187.78575851663, a
Low,26.566064405685488,71558.92404817088,Inf,-170837.38804343488,170890.52017224627, a
High,26.566064407199047,72485.04730061679,Inf,-173048.7276213957,173101.8597502101, a
