WVclass,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Low,1.8673252328627505,0.289102878589193,Inf,1.1770233363941003,2.557627129331401, a 
High,2.873740672467207,0.27544003765253194,Inf,2.216062058948044,3.53141928598637,  b
Medium,3.5200219869409684,0.31474443451464273,Inf,2.768494775905676,4.2715491979762605,  b
