model,nsim_resid,nsim_zero,uniformity_p,dispersion_p,zeroinfl_p,spatial_p,observed_zero_rate,expected_zero_rate,dharma_ok
s_rich_A,250,200,0.14341917619689787,0.048,0.648,NA,0.07729468599033816,0.08992753623188406,TRUE
s_rich_W,250,200,0.2396684539916003,0.008,0.744,NA,0.07729468599033816,0.09147342995169082,TRUE
s_cnt_A,250,200,0.17419418228472358,0.96,0.768,NA,0.07729468599033816,0.06973429951690821,TRUE
s_cnt_W,250,200,0.160258853113436,0.592,0.608,NA,0.07729468599033816,0.06871980676328503,TRUE
w_rich_A,250,200,0.4567541527952277,0.992,0.072,NA,0.1619047619047619,0.12188095238095238,TRUE
w_rich_W,250,200,0.8587591030269378,0.952,0.232,NA,0.1619047619047619,0.1314047619047619,TRUE
w_cnt_A,250,200,0.2697542243161754,0.752,0.136,NA,0.1619047619047619,0.12461904761904762,TRUE
w_cnt_W,250,200,0.32741873341359995,0.712,0.128,NA,0.1619047619047619,0.12697619047619046,TRUE
