term,estimate,std_error,z_value,p_value,model,conf_low,conf_high,Estimate
(Intercept),-0.6635345597375675,0.6743626266177385,-0.9839432577477208,0.32514341292951054,winter_count_logArea_by_troph,-1.9852610204281667,0.6581919009530317,-0.6635345597375675
logArea,0.5344498189971796,0.12704578794370927,4.206749610888167,2.5906990773140006e-5,winter_count_logArea_by_troph,0.28544465023999643,0.7834549877543627,0.5344498189971796
factor(trophLevel)count_3,4.250615813051833,0.748677960394466,5.677495582763321,1.3668105530240262e-8,winter_count_logArea_by_troph,2.7832339746597747,5.717997651443891,4.250615813051833
factor(trophLevel)count_4,1.6028941489214141,0.7314987026900942,2.19124674182846,0.028433941792532114,winter_count_logArea_by_troph,0.16918303691105696,3.036605260931771,1.6028941489214141
logArea:factor(trophLevel)count_3,-0.561854113642807,0.14006023431328357,-4.011517733049514,6.032964445350238e-5,winter_count_logArea_by_troph,-0.8363671285630838,-0.2873410987225302,-0.561854113642807
logArea:factor(trophLevel)count_4,-0.31496889722747096,0.1373056431530728,-2.2939253623853855,0.021794786313809975,winter_count_logArea_by_troph,-0.5840830126816023,-0.045854781773339626,-0.31496889722747096
