term,estimate,std_error,z_value,p_value,model,conf_low,conf_high,Estimate
(Intercept),-0.08079715080043814,0.40697226238620227,-0.19853232828866482,0.8426285937917493,summer_count_logArea_by_troph,-0.8784481277841794,0.7168538261833031,-0.08079715080043814
logArea,0.5907364142651387,0.08441814679752312,6.997742033854636,2.6012045634895133e-12,summer_count_logArea_by_troph,0.4252798869003781,0.7561929416298993,0.5907364142651387
factor(trophLevel)count_3,2.361578863856125,0.42518914219108284,5.554184313565599,2.789110702094438e-8,summer_count_logArea_by_troph,1.5282234585441228,3.1949342691681273,2.361578863856125
factor(trophLevel)count_4,1.4915391432051346,0.44862383371988335,3.3246988481143385,8.85140880977625e-4,summer_count_logArea_by_troph,0.6122525865078776,2.3708256999023916,1.4915391432051346
logArea:factor(trophLevel)count_3,-0.4202153404911834,0.08670833541780519,-4.846308471571627,1.2577989858640425e-6,summer_count_logArea_by_troph,-0.5901605550695004,-0.2502701259128665,-0.4202153404911834
logArea:factor(trophLevel)count_4,-0.38190963738215444,0.09275190408805034,-4.117539592713953,3.82938756480327e-5,summer_count_logArea_by_troph,-0.5637000288922465,-0.20011924587206242,-0.38190963738215444
