model,family,theta,logLik,AIC,BIC,nobs,p_interaction
summer_richness_logArea_by_troph,nbinom2,356181.1194905951,-388.93508429078906,793.8701685815781,820.5319189277011,207,0.053149410876455895
summer_count_logArea_by_troph,nbinom2,1.4932684970110042,-786.5924067041524,1589.1848134083048,1615.8465637544277,207,2.3230057612491332e-6
winter_richness_logArea_by_troph,nbinom2,76937.61853465998,-425.6676491972512,867.3352983945024,894.1121586402421,210,2.31082226447803e-4
winter_count_logArea_by_troph,nbinom2,0.9609411557817357,-781.601107891417,1579.202215782834,1605.9790760285737,210,3.09719695380925e-4
