term,estimate,std_error,z_value,p_value,model,conf_low,conf_high,Estimate
(Intercept),-1.2115918112437283,0.39891055500909134,-3.0372518250767158,0.0023874590939435437,winter_richness_logArea_by_troph,-1.9934421321144313,-0.42974149037302534,-1.2115918112437283
logArea,0.29381221814044584,0.06908977707240943,4.252614939436212,2.1128870776410032e-5,winter_richness_logArea_by_troph,0.1583987433786222,0.4292256929022695,0.29381221814044584
factor(trophLevel)richness_3,2.7593880667983832,0.4124451627431824,6.690315018960652,2.2269069169477863e-11,winter_richness_logArea_by_troph,1.9510104022239845,3.567765731372782,2.7593880667983832
factor(trophLevel)richness_4,1.4886845059304867,0.4400142401284758,3.3832643813887007,7.162964102895726e-4,winter_richness_logArea_by_troph,0.6262724425939153,2.351096569267058,1.4886845059304867
logArea:factor(trophLevel)richness_3,-0.26153245706537476,0.07183843718468624,-3.640564401380456,2.7204104961306186e-4,winter_richness_logArea_by_troph,-0.40233320665300276,-0.12073170747774675,-0.26153245706537476
logArea:factor(trophLevel)richness_4,-0.11446224301478775,0.07606650618183117,-1.504765352850235,0.13238441434683232,winter_richness_logArea_by_troph,-0.2635498555609702,0.034625369531394695,-0.11446224301478775
