term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),3.200916570836818,0.8435543070049675,3.7945589800870625,1.4790612093520307e-4,cond,winter_abundance_cont,1.5475805101034383,4.854252631570198,3.200916570836818
logArea,-0.11034597947380248,0.1634502982088337,-0.6751041795764605,0.49960957840534176,cond,winter_abundance_cont,-0.43070267722544814,0.21001071827784318,-0.11034597947380248
perWV_sc,0.8038169347062514,4.0887409218908735,0.1965927775963167,0.8441462229607521,cond,winter_abundance_cont,-7.209968014314956,8.817601883727459,0.8038169347062514
I(perWV_sc^2),-1.7064272901725306,3.7770181178196522,-0.4517921908083392,0.6514186960077992,cond,winter_abundance_cont,-9.10924677005431,5.696392189709249,-1.7064272901725306
logArea:perWV_sc,0.8645475231156348,0.841293951820722,1.0276402454155145,0.3041190855984873,cond,winter_abundance_cont,-0.7843583228643554,2.513453369095625,0.8645475231156348
logArea:I(perWV_sc^2),-0.5409606520007914,0.7971192133171977,-0.6786446029190453,0.49736307446863903,cond,winter_abundance_cont,-2.103285601487399,1.0213642974858166,-0.5409606520007914
