term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),1.9424896201360569,0.28196215200741903,6.889185680796428,5.61126592857567e-12,cond,summer_richness_cont,1.3898539571981074,2.4951252830740063,1.9424896201360569
logArea,0.033703714106093324,0.05668390177471039,0.5945905812914645,0.5521171774652645,cond,summer_richness_cont,-0.07739469187554507,0.14480212008773172,0.033703714106093324
perWV_sc,-0.2157766348381076,1.4964202178299697,-0.14419521486485634,0.8853463194431185,cond,summer_richness_cont,-3.14870636752243,2.7171530978462144,-0.2157766348381076
I(perWV_sc^2),-0.1291270366331985,1.3658393130243156,-0.09454043048979048,0.9246798673630375,cond,summer_richness_cont,-2.806122898829786,2.5478688255633886,-0.1291270366331985
logArea:perWV_sc,0.4282791746277214,0.296884568224023,1.442578094205795,0.14913935788897492,cond,summer_richness_cont,-0.15360388665708807,1.0101622359125308,0.4282791746277214
logArea:I(perWV_sc^2),-0.3063591570885658,0.275729181859147,-1.1110871726485074,0.26653082869538947,cond,summer_richness_cont,-0.8467784230191886,0.23406010884205702,-0.3063591570885658
