term,Chisq,Df,Pr(>Chisq)
(Intercept),75.4759280806145,1,3.6988898652774825e-18
logArea,2.5682267773100715,1,0.10902988535962177
perWV,1.8796362657419854,1,0.17037549426457368
logArea:perWV,3.0587587607822395,1,0.08030299083862667
