WVclass,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Low,-0.414974482259006,0.36949575039110544,Inf,-1.29723348457951,0.4672845200614979, a 
Medium,0.7807404161066933,0.47306591454887575,Inf,-0.34881699114346265,1.9102978233568493, ab
High,2.5170897850750444,1.0647231837726798,Inf,-0.025190100061646792,5.059369670211735,  b
