WVclass,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Low,2.5250834502568393,0.7305070731110612,Inf,0.7808240350163476,4.269342865497331, a
Medium,21.34593341579895,3394.4330102013,Inf,-8083.670370165684,8126.362236997282, a
High,23.311150484418572,4266.6974867896015,Inf,-10164.444091392947,10211.066392361783, a
