WVclass,emmean,SE,df,asymp.LCL,asymp.UCL,.group
Medium,26.566063885848198,74304.0651662889,Inf,-177392.06549704107,177445.19762481275, a
High,26.566067603166843,108510.50692340596,Inf,-259068.0824586734,259121.2145938797, a
Low,26.566068188414057,59706.235122102196,Inf,-142536.27362721326,142589.40576359007, a
