model,family,theta,logLik,AIC,BIC,nobs,p_logA_x_cover,p_logA_x_cover2
summer_richness_cont,nbinom2,6210.4720922641645,-186.10401529251897,388.20803058503793,406.080882621816,69,0.1491393578889745,0.2665308286953895
summer_abundance_cont,nbinom2,11939.037772134203,-340.0384141669958,696.0768283339916,713.9496803707697,69,0.28901734518522243,0.6003714324917313
winter_richness_cont,nbinom2,250.06220729127207,-196.63987245827295,409.2797449165459,427.26770685294076,70,0.421542571876022,0.3264090914040135
winter_abundance_cont,nbinom2,792.6034294398617,-351.23308953256355,718.4661790651271,736.454141001522,70,0.3041190855984874,0.49736307446863914
