term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),3.258696322515717,0.6255607033280399,5.209240774203296,1.8961492167293215e-7,cond,summer_abundance_cont,2.0326198738492134,4.48477277118222,3.258696322515717
logArea,0.0018145619628804122,0.13053825860025026,0.013900614136712052,0.9889092717672826,cond,summer_abundance_cont,-0.254035723498186,0.25766484742394685,0.0018145619628804122
perWV_sc,-1.488373772399725,3.5567852013507504,-0.41846040402847196,0.6756105308460254,cond,summer_abundance_cont,-8.459544667792239,5.482797122992789,-1.488373772399725
I(perWV_sc^2),0.18038802297150772,3.2690174305360493,0.05518111383759979,0.9559941749820661,cond,summer_abundance_cont,-6.226768405712815,6.587544451655831,0.18038802297150772
logArea:perWV_sc,0.7837053547392849,0.7391495957930123,1.060279758251738,0.2890173451852224,cond,summer_abundance_cont,-0.6650012322023575,2.2324119416809274,0.7837053547392849
logArea:I(perWV_sc^2),-0.3629452381729771,0.6928201631348109,-0.5238664483013238,0.6003714324917313,cond,summer_abundance_cont,-1.7208478056803709,0.9949573293344168,-0.3629452381729771
