term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),2.0208619029515087,0.22117769200315737,9.136825168257296,6.431262936815849e-20,cond,summer_richness,1.5873615924416276,2.4543622134613896,2.0208619029515087
logArea,0.07643128995011741,0.04457323320564963,1.71473515500845,0.08639379507892193,cond,summer_richness,-0.010930641807460673,0.1637932217076955,0.07643128995011741
factor(WVclass)1,-0.11446871558702196,0.3832871492444221,-0.2986500220857269,0.765207094109636,cond,summer_richness,-0.8656977238431177,0.6367602926690737,-0.11446871558702196
factor(WVclass)2,-0.4706555836747776,0.27326827342854915,-1.7223206256976586,0.08501145338383324,cond,summer_richness,-1.0062515577121776,0.06494039036262239,-0.4706555836747776
logArea:factor(WVclass)1,0.06646253484471884,0.07778622524399578,0.8544255057530125,0.39286926873904404,cond,summer_richness,-0.08599566512683324,0.21892073481627092,0.06646253484471884
logArea:factor(WVclass)2,0.11051655030139813,0.05511100253448121,2.0053445812794175,0.044926221898613936,cond,summer_richness,0.002500970181919346,0.21853213042087694,0.11051655030139813
