model,family,theta,logLik,AIC,BIC,nobs,p_interaction
summer_richness,nbinom2,26.31822191980943,-188.61453840907666,391.2290768181533,406.8678223503341,69,0.13341682269901017
summer_abundance,nbinom2,1.4892896667033269,-344.2095225893683,702.4190451787366,718.0577907109174,69,8.146477023398957e-4
winter_richness,nbinom2,14.840569547995049,-196.9832554542966,407.9665109085932,423.70597760293873,70,0.44486587022431084
winter_abundance,nbinom2,1.2679900606486838,-357.08390411934903,728.1678082386981,743.9072749330436,70,0.44686570728970365
