term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),1.8409678585860965,0.25574510741141815,7.198448006375834,6.090176012922833e-13,cond,winter_richness,1.3397166588373892,2.3422190583348037,1.8409678585860965
logArea,0.07957017810796792,0.046584103355086684,1.708097234403018,0.08761830199513163,cond,winter_richness,-0.011732986720093458,0.1708733429360293,0.07957017810796792
factor(WVclass)1,-0.020923855592147406,0.3973270190460127,-0.052661547262468716,0.9580015773287356,cond,winter_richness,-0.7996705030069922,0.7578227918226974,-0.020923855592147406
factor(WVclass)2,-0.3423296123241517,0.4039895917322405,-0.8473723564419048,0.3967876076144851,cond,winter_richness,-1.1341346622483832,0.4494754376000799,-0.3423296123241517
logArea:factor(WVclass)1,0.07217769918044206,0.0751046768687857,0.961028023681437,0.33653807756500387,cond,winter_richness,-0.07502476255289636,0.2193801609137805,0.07217769918044206
logArea:factor(WVclass)2,0.0855730824930955,0.07512097085353481,1.139137068128944,0.2546459888340144,cond,winter_richness,-0.06166131486351581,0.23280747984970682,0.0855730824930955
