term,Chisq,Df,Pr(>Chisq)
(Intercept),90.05577577200403,1,2.315397715695782e-21
logArea,0.08551630395570309,1,0.7699565675981749
perWV,7.69607672353098,1,0.005534098583243554
logArea:perWV,13.580236292454876,1,2.2857946037679812e-4
