term,Chisq,Df,Pr(>Chisq)
(Intercept),36.846101333846036,1,1.278314579096663e-9
logArea,2.016960701195227,1,0.15555021565175486
perWV,0.1314943868375583,1,0.7168876116552074
logArea:perWV,0.9013309170378248,1,0.34242509390917497
