term,Chisq,Df,Pr(>Chisq)
(Intercept),43.10060661194179,1,5.199613152770644e-11
logArea,0.20218963555235803,1,0.6529592102328212
perWV,2.751588458311142,1,0.09715786127397065
logArea:perWV,5.109971041759583,1,0.023788717261908142
