term,Chisq,Df,Pr(>Chisq)
(Intercept),75.59171561579215,1,3.4882199992836295e-18
logArea,9.975371643515533,1,0.0015864797055434282
trophLevel,7.845426801675664,2,0.0197873308757171
logArea:trophLevel,6.473161782680541,2,0.03929802989191177
