term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),6.824828243453131,0.7849728304191737,8.69434963730998,3.488219999283589e-18
logArea,0.4547882113892828,0.14399408629310453,3.1583811745125905,0.00158647970554343
trophLevelbiomass_3,2.0198489943027664,0.8094894223938733,2.4952135734269896,0.012588133796092076
trophLevelbiomass_4,0.3965509749923923,0.8331980297476147,0.47593844540476427,0.6341182316342543
logArea:trophLevelbiomass_3,-0.3752128369768975,0.1477385821779924,-2.539707850484505,0.011094510047586168
logArea:trophLevelbiomass_4,-0.20375139636303993,0.15154406381115557,-1.344502656448106,0.17878589799014988
