term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),6.626647595080766,0.5084614354076538,13.032743751289454,7.968962151243639e-39
logArea,0.5710943620189474,0.10185722518439998,5.6068124866454125,2.0608672429734103e-8
trophLevelbiomass_3,1.6689661332659895,0.49098539118078893,3.399217498614839,6.757895251391565e-4
trophLevelbiomass_4,1.416423277227282,0.507059588455822,2.793405961498131,0.005215619125759952
logArea:trophLevelbiomass_3,-0.39594017793099556,0.09485648389639827,-4.174097137771196,2.9917009856188777e-5
logArea:trophLevelbiomass_4,-0.3693259754186662,0.0993703687368784,-3.7166610138742664,2.018730073742966e-4
