term,Chisq,Df,Pr(>Chisq)
(Intercept),169.85240968677434,1,7.9689621512435e-39
logArea,31.436346260402917,1,2.0608672429734064e-8
trophLevel,12.36748315701966,2,0.0020626956605992244
logArea:trophLevel,20.069375681999848,2,4.3852104769221144e-5
