term,estimate,std_error,z_value,p_value,model,conf_low,conf_high,Estimate
(Intercept),-1.1772057922518646,0.31006965404484305,-3.7965849830683984,1.4670308565561501e-4,winter_richness_logWV_by_troph,-1.7849311468785511,-0.5694804376251781,-1.1772057922518646
logWV,0.3891058972225815,0.06831207243696778,5.696004869148323,1.2264737586084829e-8,winter_richness_logWV_by_troph,0.25521669553683335,0.5229950989083296,0.3891058972225815
factor(trophLevel)richness_3,2.7602253847445213,0.32235291285666445,8.562743734137953,1.102127235430891e-17,winter_richness_logWV_by_troph,2.1284252852338805,3.392025484255162,2.7602253847445213
factor(trophLevel)richness_4,1.6564466550875967,0.34108279183319723,4.856435723962479,1.1951755277436198e-6,winter_richness_logWV_by_troph,0.9879366673481578,2.3249566428270354,1.6564466550875967
logWV:factor(trophLevel)richness_3,-0.35251960164873697,0.07210352753971368,-4.8890756621383575,1.0131055400808604e-6,winter_richness_logWV_by_troph,-0.49383991878486766,-0.21119928451260625,-0.35251960164873697
logWV:factor(trophLevel)richness_4,-0.19262661379855228,0.07550442700653909,-2.551196286568333,0.010735384546152483,winter_richness_logWV_by_troph,-0.34061257140470225,-0.04464065619240229,-0.19262661379855228
