model,n,AIC_with_grid,AIC_without_grid,R2_marginal_with_grid,R2_conditional_with_grid,McFadden_R2_without_grid,grid_intercept_variance,p_interaction_with_grid,p_interaction_without_grid
summer_richness_trophic,207,793.8701685956795,802.53376222548,0.5462388574328654,0.6298940225009584,0.1616996032001754,0.05342135361631535,0.05314940981194707,0.05673044881985847
summer_count_trophic,207,1589.184813408305,1636.4221885255424,0.34388059451544156,0.6880752431455976,0.042862055312057445,0.594690072995862,2.323005761311501e-6,3.326063579006205e-5
winter_richness_trophic,210,867.3352983889736,879.1698550008174,0.5807918131414848,0.7000241191534764,0.12768609463601965,0.09755686821750902,2.3108226715025035e-4,0.0020709260656585587
winter_count_trophic,210,1579.202215782834,1612.7690762041223,0.34692158900798037,0.6681423344884723,0.0315589699418618,0.7117674612852141,3.0971969537916497e-4,0.010773972680201726
