model,n,presence_RE_fit_status,presence_grid_var_if_fit,presence_McFadden_R2_no_grid,abundance_RE_fit_status,abundance_grid_var_if_fit,abundance_theta_no_grid,abundance_theta_with_grid_if_fit,abundance_McFadden_R2_no_grid
summer_herbivore,69,converged,1622.6312013835927,0.15814219192423884,converged,0.21140575222604044,0.5581522388235972,0.6269268954454111,0.07247121428370318
summer_omnivore,69,converged,2.617108775310722e-242,2.218815108312455e-6,converged,0.7959119221463062,1.1137257672450962,1272523311.7638962,0.0173756114806759
summer_carnivore,69,converged,1.4511421875891127e-8,0.19672049083272414,converged,0.8347441771971197,1.196446359986538,9919080.376639793,0.014160958977275429
winter_herbivore,70,converged,0.0945579450035598,0.18323868932241738,converged,1.6398632190727334e-8,0.23445302954650607,0.23445302104763951,0.026357382492371628
winter_omnivore,70,converged,1.8387988064747974e-44,1.0935594814132088e-6,converged,0.9616109325712447,1.10280485333928,5458778.237917864,0.017891468622120543
winter_carnivore,70,converged,5213.768190044232,0.39090627534344125,converged,0.8220187157415193,1.1287034156573492,29665560.921562437,0.019297918192659247
