model_name,logLik,AIC,BIC,nobs,deltaAIC,weight
NB2_base_s_rich_A,-388.93508429078906,793.8701685815781,820.5319189277011,207,0,0.5000633229953618
NB1_base_s_rich_A,-388.93533758277187,793.8706751655437,820.5324255116667,207,5.065839656026583e-4,0.49993667700463823
