model_name,logLik,AIC,BIC,nobs,deltaAIC,weight
NB1_base_s_rich_W,-389.76682282865806,795.5336456573161,822.1953960034391,207,0,0.5000920346120361
NB2_base_s_rich_W,-389.76719096711037,795.5343819342207,822.1961322803437,207,7.36276904603983e-4,0.49990796538796395
