term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),3.2229036487107625,0.5712160310432949,5.642179969676805,1.6791044798876327e-8,cond,winter_abundance,2.1033408004739913,4.342466496947534,3.2229036487107625
logArea,0.06418036875130573,0.10574511118283213,0.6069346188528619,0.5438943025282175,cond,winter_abundance,-0.1430762407082289,0.27143697821084034,0.06418036875130573
factor(WVclass)1,0.22293051577603298,0.9711003439458109,0.22956486131002019,0.8184299142653776,cond,winter_abundance,-1.680391183732215,2.126252215284281,0.22293051577603298
factor(WVclass)2,-0.7901331225346214,0.8408828217439533,-0.9396471209816377,0.34739859737456674,cond,winter_abundance,-2.438233168371184,0.857966923301941,-0.7901331225346214
logArea:factor(WVclass)1,0.05265501103428348,0.18928009137511248,0.2781856805528087,0.7808698264627888,cond,winter_abundance,-0.31832715105138737,0.42363717311995436,0.05265501103428348
logArea:factor(WVclass)2,0.14044355915590861,0.16286447817507396,0.8623338909110457,0.3885038080852484,cond,winter_abundance,-0.17876495242814594,0.45965207073996317,0.14044355915590861
