model,family,theta,logLik,AIC,BIC,nobs,p_interaction
summer_richness,nbinom2,11338.132422956985,-188.57385729773677,393.14771459547353,411.0205666322516,69,0.13742221959270234
summer_abundance,nbinom2,13086.563069570046,-339.3347712595516,694.6695425191032,712.5423945558813,69,0.022414592176684556
winter_richness,nbinom2,12512.366298947918,-196.87328245652654,409.7465649130531,427.73452684944795,70,0.44326517795432513
winter_abundance,nbinom2,943.405973955624,-352.7696655720275,721.539331144055,739.5272930804499,70,0.6890101166558507
