term,estimate,std_error,z_value,p_value,component,model,conf_low,conf_high,Estimate
(Intercept),1.812903176189623,0.257138258837305,7.050305094181541,1.7852591735100083e-12,cond,winter_richness,1.3089214498211672,2.316884902558079,1.812903176189623
logArea,0.0783190338560953,0.046796056841852486,1.6736246415114606,0.09420439253539323,cond,winter_richness,-0.013399552172424736,0.17003761988461535,0.0783190338560953
factor(WVclass)1,-0.014685169114303079,0.40650557554688377,-0.03612538178485423,0.9711823837960984,cond,winter_richness,-0.8114214567009211,0.782051118472315,-0.014685169114303079
factor(WVclass)2,-0.3421847532095628,0.40361658809782736,-0.8477965556921687,0.3965512816128038,cond,winter_richness,-1.133258729444242,0.4488892230251164,-0.3421847532095628
logArea:factor(WVclass)1,0.07040257840000842,0.0772062872127555,0.9118762336803184,0.36183387381763144,cond,winter_richness,-0.08091896391704766,0.2217241207170645,0.07040257840000842
logArea:factor(WVclass)2,0.08755162473177626,0.07482822279410123,1.1700348005415682,0.24198696444663104,cond,winter_richness,-0.05910899697180126,0.23421224643535377,0.08755162473177626
